idx,band,song,url
0,afterglow,ON YOUR MARK,https://youtu.be/09B-WljIiTo
1,afterglow,That Is How I Roll!,https://youtu.be/_lfuqSepLNw
2,afterglow,SENSENFUKOKU,https://youtu.be/RDZUbagvt0E
3,afterglow,I knew it!,https://youtu.be/q-TEDPBUv7M
4,afterglow,ツナグ、ソラモヨウ,https://youtu.be/BnWyq8p7NzI
5,afterglow,Hey-day狂騒曲(カプリチオ),https://youtu.be/czHlLBls4oo
6,afterglow,"Easy come, Easy go!",https://youtu.be/erY4I7Irk0E
7,afterglow,Sasanqua,https://youtu.be/zB2aqNpT8ak
8,afterglow,RED RED RED,https://youtu.be/PEUtqZ_lQ4w
9,afterglow,ONE OF US,https://youtu.be/fwT9BgeiPNU
10,afterglow,Y.O.L.O!!!!!,https://youtu.be/NWTkdgPu9v8
11,afterglow,Scarlet Sky,https://youtu.be/tfZBC32tcwo
12,afterglow,Off we go.,https://youtu.be/bg2UuSTbyqk
13,afterglow,いつも通りのBrand new days,https://youtu.be/Ku2GV2VkQcA
14,afterglow,SWITCH ON NOW,https://youtu.be/jsPk4RqO3N8
15,afterglow,ランブリングメモリー,https://youtu.be/vRHfyDdge6s
16,afterglow,COMIC PANIC!!!,https://youtu.be/LhpHCRJAAKw
17,afterglow,Trouble Joyful!!,https://youtu.be/RepUyAXXlD8
18,afterglow,Jamboree!Journey!,https://youtu.be/UEBaKDkey40
19,afterglow,カナユメ,https://youtu.be/ZFXt0Ul0YA8
20,afterglow,独創収差,https://youtu.be/8rQjShGMPYs
21,afterglow,極彩色,https://youtu.be/YvpL2A3FZk4
22,afterglow,サクラゼンセン,https://youtu.be/RJ98HN9hl6I
23,afterglow,True color,https://youtu.be/zOTQpZkq_vk
24,afterglow,Crow Song,https://youtu.be/mpPPaC8vfsU
25,afterglow,カサブタ,https://youtu.be/-0QIHYtgwwQ
26,afterglow,アイのシナリオ,https://youtu.be/TFvTI-1uz7g
27,afterglow,Northern lights,https://youtu.be/qrbkufy83yY
28,afterglow,トーキョーワンダー。,https://youtu.be/4vNlqraef0E
29,afterglow,Reach Out To The Truth,https://youtu.be/ufMWpo-RKpQ
30,afterglow,Listen!!,https://youtu.be/VDWm77vSOR8
31,afterglow,青い栞,https://youtu.be/bzJW33heiqw
32,afterglow,イマジネーション,https://youtu.be/PDtPDiaQOK8
33,afterglow,Butter-Fly,https://youtu.be/GlylV3xII5k
