band,idx,song,duration_s,harmonic_ratio,centroid,rolloff,flatness,contrast,flux,zcr,rms,tempo_excerpt,mode_score,key,voiced_frac_mix
afterglow,1,That Is How I Roll!,239.6,0.67244,2890.74679,5680.16565,0.04254,21.90067,1.27923,0.15562,0.27143,117.45384,0.07978,Dmaj,0.51445
afterglow,2,SENSENFUKOKU,246.5,0.65763,2654.32859,5583.74957,0.03037,21.57486,1.27906,0.12697,0.24946,135.99918,0.02075,Fmaj,0.34778
afterglow,3,I knew it!,291.3,0.72281,2467.6521,4791.71547,0.03049,21.14698,1.10984,0.13296,0.28898,99.38401,0.28963,Amaj,0.65583
afterglow,5,Hey-day狂騒曲(カプリチオ),233.7,0.6841,3054.31926,6300.57301,0.05357,21.1258,1.27334,0.15857,0.2897,151.99908,-0.07085,Dmin,0.4324
afterglow,11,Scarlet Sky,229.0,0.7256,2795.98396,5543.24981,0.03649,22.15934,1.14183,0.14503,0.31004,123.04688,0.20253,Amaj,0.56037
afterglow,13,いつも通りのBrand new days,237.3,0.669,2501.63915,5154.3855,0.02462,22.0564,1.25005,0.12007,0.28219,129.19922,0.28883,C#maj,0.5129
afterglow,14,SWITCH ON NOW,207.3,0.71228,2752.99537,5993.59154,0.03555,21.27474,1.20915,0.12998,0.30904,135.99918,-0.02717,G#min,0.52374
afterglow,17,Trouble Joyful!!,237.9,0.73099,2646.10266,5514.63888,0.02935,22.30954,1.23234,0.12539,0.29096,129.19922,0.11171,Cmaj,0.52941
afterglow,28,トーキョーワンダー。,153.8,0.65973,2314.92329,4602.62772,0.02275,21.0265,1.20344,0.11721,0.30897,135.99918,-9e-05,Dmin,0.33695
afterglow,31,青い栞,336.8,0.78474,2093.99368,4578.48343,0.01136,23.53501,1.25383,0.08305,0.2427,129.19922,0.30375,Bmaj,0.79876
afterglow,32,イマジネーション,178.0,0.62223,2677.33299,5794.26496,0.03108,21.67805,1.29334,0.12868,0.27178,135.99918,-0.03484,G#min,0.37255
afterglow,35,That's why I'm here.,261.9,0.65175,2373.50325,5077.60263,0.02285,21.05314,1.28743,0.10501,0.31867,123.04688,0.03619,Bmaj,0.33849
afterglow,54,青のすみか (Cover),197.4,0.73919,2692.64442,5488.73903,0.0309,22.54585,1.27563,0.12389,0.26432,151.99908,0.19695,F#maj,0.56863
afterglow,65,午夜の待ち合わせ (Cover),171.5,0.62115,2692.94257,5529.26101,0.03492,21.64433,1.23681,0.1349,0.28407,95.70312,-0.01643,G#min,0.5129
afterglow,71,I love your way！,263.7,0.67835,2683.89576,5523.2666,0.03329,21.45321,1.18536,0.13421,0.30806,129.19922,-0.07998,F#min,0.45614
ave_mujica,72,KiLLKiSS,208.8,0.72307,2478.96987,5098.44695,0.03219,21.39799,1.19894,0.12058,0.39788,135.99918,-0.23625,Emin,0.21517
ave_mujica,77,顔,242.2,0.73567,3101.57739,6533.9716,0.05348,20.98165,1.28647,0.14166,0.35327,143.55469,-0.15457,F#min,0.42724
ave_mujica,78,天球のMúsica,280.3,0.84073,2586.92125,5396.53959,0.02926,23.26991,1.09411,0.11715,0.34405,129.19922,0.12481,Fmaj,0.39732
ave_mujica,79,黒のバースデイ,234.3,0.64108,2603.53508,5306.61791,0.03546,21.09535,1.42135,0.1219,0.36637,99.38401,-0.13868,D#min,0.28483
ave_mujica,80,ふたつの月 ~Deep Into The Forest~,304.9,0.74596,2693.70624,5421.53388,0.03466,21.80469,1.23766,0.12388,0.32307,117.45384,-0.15946,Emin,0.28483
ave_mujica,83,Mas?uerade Rhapsody Re?uest,249.8,0.72291,2513.21439,5033.58623,0.0307,21.24537,1.24518,0.12225,0.3727,95.70312,-0.04066,G#min,0.27193
ave_mujica,85,Symbol I : △,312.2,0.80834,2754.60497,5743.26527,0.03961,21.72739,1.15554,0.1289,0.43492,117.45384,-0.07241,F#min,0.23736
ave_mujica,86,Symbol II : Air,212.8,0.68485,2939.43644,6207.14024,0.05272,20.91981,1.24081,0.13847,0.41544,99.38401,-0.10902,Emin,0.26006
ave_mujica,89,Ether,285.7,0.81985,2790.28091,5787.14278,0.04019,21.71198,1.17391,0.12427,0.39528,123.04688,0.00821,C#maj,0.61558
ave_mujica,91,in your blue eyes,222.8,0.82271,2207.71891,4674.99395,0.01485,22.75139,1.14969,0.08717,0.31821,143.55469,-0.08697,Dmin,0.6419
ave_mujica,92,素晴らしき世界 でも どこにもない場所,269.5,0.7425,2485.87261,5212.11848,0.02585,22.08383,1.26414,0.10884,0.33219,135.99918,-0.02895,Cmin,0.35965
ave_mujica,94,DIVINE,257.6,0.75144,2753.74164,5700.50442,0.04146,21.06729,1.16243,0.12811,0.40105,117.45384,-0.22354,F#min,0.33849
ave_mujica,96,‘S/’ The Way,227.5,0.77194,2598.19936,5450.66704,0.03048,21.32868,1.15711,0.11346,0.41858,107.66602,-0.26254,Emin,0.52528
ave_mujica,98,堕天 (Cover),183.8,0.66861,2770.27769,5949.2918,0.04266,21.41807,1.32603,0.12696,0.36218,103.35938,0.00832,Emaj,0.07327
ave_mujica,99,KINGS (Cover),317.6,0.73014,2333.49743,4939.72013,0.02266,22.19521,1.33243,0.10261,0.37533,117.45384,-0.00536,G#min,0.09856
hello_happy_world,112,ないすみちゅっ！,257.2,0.67794,2864.51602,5788.12056,0.03773,22.18315,1.37226,0.14567,0.25073,117.45384,-0.09359,A#min,0.51703
hello_happy_world,117,ふぁいぶスマイル◯オールインっ！,246.3,0.72327,2602.36722,5236.06834,0.02543,23.24586,1.28118,0.1381,0.25262,123.04688,0.14586,Amaj,0.49071
hello_happy_world,119,きらっ☆と キミフェス！,231.1,0.5859,2866.53536,6055.46338,0.03644,22.76569,1.42421,0.13716,0.25306,129.19922,-0.197,G#min,0.12848
hello_happy_world,122,ふわふわ☆ゆめいろサンドイッチ,292.0,0.70826,2416.37622,5002.8253,0.01729,23.37177,1.39192,0.12693,0.23056,129.19922,0.24096,Fmaj,0.387
hello_happy_world,125,わちゃ・もちゃ・ぺったん行進曲,233.2,0.70906,2614.12658,5881.38666,0.02457,22.65708,1.39494,0.11155,0.27713,107.66602,0.11836,D#maj,0.64035
hello_happy_world,128,ハピネスっ！ハピィーマジカルっ♪,210.6,0.70802,2871.20788,5696.38778,0.03528,22.97214,1.20087,0.16127,0.27914,92.28516,0.31752,Amaj,0.38854
hello_happy_world,133,太陽曰く燃えよカオス,239.2,0.67556,2602.04726,5625.14932,0.02687,22.05873,1.58346,0.1116,0.27285,143.55469,0.17858,Gmaj,0.48142
hello_happy_world,141,ボクらの夏's☆ショーたいむっ！！,206.8,0.73607,2611.61461,5419.86167,0.02419,22.31856,1.38925,0.12344,0.2888,117.45384,-0.13336,Dmin,0.5258
hello_happy_world,144,らいふ・いず・みゅーじかるっ♪♪♪,237.7,0.72229,2774.67332,5458.81144,0.03129,23.32948,1.22532,0.15048,0.24276,135.99918,0.14836,Amaj,0.30547
hello_happy_world,149,Listen to Smile!,244.2,0.76726,2352.42111,5028.74737,0.01856,23.05407,1.26449,0.10932,0.29845,129.19922,0.31604,Gmaj,0.44014
